ID_Estudiante;Semestre;Código_Materia;Semestre_Correspondiente;Nota_Final;Estado;Segunda_Instancia;Carga_Académica;Promedio_Semestral
1;1/2022;FIS100;1;54;C;0;5;60.0
1;1/2022;MAT100;1;85;C;0;5;60.0
1;1/2022;MAT101;1;60;A;0;5;60.0
1;1/2022;SHC100;1;60;C;0;5;60.0
1;1/2022;SIS100;1;58;C;0;5;60.0
1;2/2022;FIS200;2;67;A;0;6;73.4
1;2/2022;MAT102;2;45;R;0;6;73.4
1;2/2022;MAT103;2;100;A;0;6;73.4
1;2/2022;SIS101;2;1;B;0;6;73.4
1;2/2022;SIS103;2;89;A;0;6;73.4
1;2/2022;SIS308;2;66;A;0;6;73.4
1;1/2023;MAT102;2;7;R;0;4;51.5
1;1/2023;SIS101;2;70;A;0;4;51.5
1;1/2023;GEN410;3;65;A;0;4;51.5
1;1/2023;SIS107;3;64;A;0;4;51.5
1;2/2023;SIS204;3;77;A;0;5;69.6
1;2/2023;SIS302;3;74;A;0;5;69.6
1;2/2023;SIS457;3;51;A;0;5;69.6
1;2/2023;SIS110;4;82;A;0;5;69.6
1;2/2023;SIS125;4;64;A;0;5;69.6
1;2/2023;SIS251;4;75;A;0;5;69.6
1;1/2024;MAT102;2;53;A;0;5;67.4
1;1/2024;SIS304;4;70;A;0;5;67.4
1;1/2024;SIS407;4;67;A;0;5;67.4
1;1/2024;SIS252;5;88;A;0;5;67.4
1;1/2024;SIS313;5;84;A;0;5;67.4
1;1/2024;SIS315;5;55;A;0;5;67.4
1;1/2024;SIS324;5;69;A;0;5;67.4
1;2/2024;MAT280;3;74;A;0;5;85.4
1;2/2024;SIS256;5;93;A;0;5;85.4
1;2/2024;COM350;6;78;A;0;5;85.4
1;2/2024;COM460;6;92;A;0;5;85.4
1;2/2024;SIS258;6;90;A;0;5;85.4
2;1/2021;FIS100;1;55;A;0;5;62.2
2;1/2021;MAT100;1;68;A;0;5;62.2
2;1/2021;MAT101;1;56;A;1;5;62.2
2;1/2021;SHC100;1;81;A;0;5;62.2
2;1/2021;SIS100;1;51;A;0;5;62.2
2;2/2021;FIS200;2;51;A;0;6;65.3
2;2/2021;MAT102;2;38;R;1;6;65.3
2;2/2021;MAT103;2;51;A;1;6;65.3
2;2/2021;SIS101;2;88;A;0;6;65.3
2;2/2021;SIS103;2;89;A;0;6;65.3
2;2/2021;SIS308;2;75;A;0;6;65.3
2;1/2022;MAT102;2;26;R;1;7;51.7
2;1/2022;GEN410;3;66;A;0;7;51.7
2;1/2022;SIS107;3;54;A;1;7;51.7
2;1/2022;SIS204;3;62;A;0;7;51.7
2;1/2022;SIS302;3;66;A;0;7;51.7
2;1/2022;SIS457;3;53;A;0;7;51.7
2;1/2022;MAT102;2;35;R;0;7;51.7
2;2/2022;MAT102;2;29;R;1;7;57.4
2;2/2022;SIS110;4;73;A;0;7;57.4
2;2/2022;SIS125;4;65;A;0;7;57.4
2;2/2022;SIS251;4;82;A;0;7;57.4
2;2/2022;SIS304;4;63;A;1;7;57.4
2;2/2022;SIS407;4;70;A;0;7;57.4
2;2/2022;MAT102;2;20;R;0;7;57.4
2;1/2023;MAT102;2;10;R;0;6;52.0
2;1/2023;SIS252;5;54;A;0;6;52.0
2;1/2023;SIS256;5;76;A;0;6;52.0
2;1/2023;SIS313;5;59;A;0;6;52.0
2;1/2023;SIS315;5;61;A;0;6;52.0
2;1/2023;SIS324;5;52;A;0;6;52.0
2;2/2023;MAT102;2;1;B;0;7;49.0
2;2/2023;COM350;6;65;A;0;7;49.0
2;2/2023;COM460;6;58;A;0;7;49.0
2;2/2023;SIS104;6;72;A;0;7;49.0
2;2/2023;SIS258;6;76;A;0;7;49.0
2;2/2023;SIS427;6;70;A;0;7;49.0
2;2/2023;MAT102;2;1;B;0;7;49.0
2;1/2024;MAT102;2;44;R;1;4;65.5
2;1/2024;COM450;7;60;A;0;4;65.5
2;1/2024;COM470;7;84;A;0;4;65.5
